,mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season
10,17040,4916c770-2501-11f0-aed8-c154e65d4269,27161.0,00-0040398,124199.0,12538.0,58839.0,4429435.0,,,3163207.0,CookBr03,,18482.0,,,42229.0,0.0,26084.0,,Brady Cook,brady cook,QB,NYJ,2001-10-12,24.0,2025.0,,,,,74.0,215.0,Missouri,2025
11,17041,1b412617-dee5-4c07-bdfc-e26eeff7fe80,27129.0,00-0040589,97998.0,12477.0,58432.0,4430431.0,,,3122216.0,RourKu01,,18565.0,,,42009.0,0.0,26087.0,,Kurtis Rourke,kurtis rourke,QB,SFO,2000-10-25,25.0,2025.0,7.0,11.0,,,76.0,220.0,Indiana,2025
12,17042,320fc4b7-76c7-43af-bbfd-1a22ba8f78cb,25989.0,00-0040122,157196.0,12527.0,58208.0,4890973.0,,,28874008.0,JeanAs00,,18487.0,,1742.0,41791.0,0.0,25868.0,,Ashton Jeanty,ashton jeanty,RB,LVR,2003-12-02,21.9,2025.0,1.0,6.0,6.0,,68.0,208.0,Boise State,2025
13,17043,0d9788e6-03ee-416d-8ba2-deb57037d209,23065.0,00-0040734,145059.0,12529.0,58243.0,4432710.0,,,26699547.0,HendTr02,,18517.0,,1743.0,41823.0,0.0,23245.0,,TreVeyon Henderson,treveyon henderson,RB,NEP,2002-10-22,23.0,2025.0,2.0,6.0,38.0,,70.0,202.0,Ohio State,2025
14,17044,3e1b7908-79ee-4a23-97b9-5190725a2e5e,25395.0,00-0040666,162750.0,12507.0,58224.0,4685382.0,,,28908905.0,HampOm00,,18445.0,,1744.0,41807.0,0.0,25956.0,,Omarion Hampton,omarion hampton,RB,LAC,2003-03-16,22.6,2025.0,1.0,22.0,22.0,,72.0,220.0,North Carolina,2025
15,17045,e1f0c72d-f4d0-4c24-93a4-8a12b9a2efd2,27166.0,00-0040715,147787.0,12481.0,58310.0,4696981.0,,,26697012.0,SkatCa00,,18514.0,,1745.0,41922.0,0.0,25887.0,,Cam Skattebo,cam skattebo,RB,NYG,2002-02-05,23.7,2025.0,4.0,3.0,105.0,,71.0,215.0,Arizona State,2025
16,17046,4ef874c1-50c3-4120-9199-0d5a4ae7c6dd,23682.0,00-0040202,144558.0,12476.0,58389.0,4682652.0,,,26703005.0,NealDe00,,18521.0,,1746.0,41972.0,0.0,25888.0,,Devin Neal,devin neal,RB,NOS,2003-08-12,22.2,2025.0,6.0,8.0,184.0,,71.0,213.0,Kansas,2025
17,17047,6ea71d26-623a-4178-a93a-215678244902,27102.0,00-0040162,163772.0,12469.0,58331.0,5081397.0,,,28912068.0,SampDy00,,18467.0,,1747.0,41907.0,0.0,25889.0,,Dylan Sampson,dylan sampson,RB,CLE,2004-09-14,21.1,2025.0,4.0,24.0,126.0,,68.0,200.0,Tennessee,2025
18,17048,9738de9a-7626-460f-a786-28433ef70a1f,27165.0,00-0040142,156419.0,12504.0,58288.0,4819231.0,,,28875572.0,JohnKa03,,18515.0,,1748.0,41881.0,0.0,26040.0,,Kaleb Johnson,kaleb johnson,RB,PIT,2003-08-14,22.2,2025.0,3.0,19.0,83.0,,73.0,224.0,Iowa,2025
19,17049,3170164a-1718-4a39-9ef2-e18104e35fef,27259.0,00-0040078,143951.0,12455.0,58433.0,4596602.0,,,26694196.0,SmitBr09,,18529.0,,1749.0,42012.0,0.0,25899.0,,Brashard Smith,brashard smith,RB,KCC,2003-04-11,22.5,2025.0,7.0,12.0,228.0,,70.0,196.0,SMU,2025
20,17050,9983d47b-c955-4546-882f-4bd2a2a5ad42,27045.0,00-0040205,129590.0,12516.0,58393.0,4429121.0,,,3169471.0,MullKa00,,18463.0,,1750.0,41986.0,0.0,25904.0,,Kalel Mullings,kalel mullings,RB,TEN,2002-10-04,23.0,2025.0,6.0,12.0,188.0,,74.0,226.0,Michigan,2025
21,17051,268c6ae2-278b-49f8-b7cd-b367944412f3,25391.0,00-0040784,157128.0,12512.0,58241.0,4685702.0,,,28878286.0,JudkQu00,,18516.0,,1751.0,41821.0,0.0,25946.0,,Quinshon Judkins,quinshon judkins,RB,CLE,2003-10-29,22.0,2025.0,2.0,4.0,36.0,,71.0,221.0,Ohio State,2025
22,17052,26d4b13e-a555-4519-9356-cd16c65384e7,27297.0,00-0040719,150568.0,12490.0,58309.0,4882093.0,,,26732838.0,TuteBh00,,18524.0,,1752.0,41900.0,0.0,25898.0,,Bhayshul Tuten,bhayshul tuten,RB,JAC,2003-02-14,22.7,2025.0,4.0,2.0,104.0,,69.0,209.0,Virginia Tech,2025
23,17053,b900661b-b5df-47c8-819d-bb13b106a60b,27520.0,00-0040583,124179.0,12474.0,58321.0,4429059.0,,,3171045.0,MarkWo00,,18449.0,,1753.0,41902.0,0.0,25942.0,,Woody Marks,woody marks,RB,HOU,2000-12-29,24.8,2025.0,4.0,14.0,116.0,,70.0,208.0,USC,2025
24,17054,487da97d-a1e8-4a1f-9b43-085944ea1a44,25976.0,00-0040651,162437.0,12462.0,58428.0,4808830.0,,,28873395.0,MartDa02,,18528.0,,1754.0,42015.0,0.0,,,Damien Martinez,damien martinez,RB,SEA,2004-01-31,21.7,2025.0,7.0,7.0,223.0,,72.0,217.0,Miami (FL),2025
25,17055,c16040c3-7534-4eeb-956c-8ed3be9972ec,27310.0,00-0040177,163295.0,12467.0,58352.0,4685397.0,,,28916212.0,JameJo01,,18485.0,,1755.0,41933.0,0.0,25903.0,,Jordan James,jordan james,RB,SFO,2004-03-29,21.6,2025.0,5.0,9.0,147.0,,69.0,208.0,Oregon,2025
26,17056,39e2d13c-0fb7-465f-ad8b-0b4bb73e1124,25393.0,00-0040644,157730.0,12531.0,58319.0,4685350.0,,,28901419.0,EtieTr01,,18506.0,,1756.0,41913.0,0.0,25948.0,,Trevor Etienne,trevor etienne,RB,CAR,2004-07-09,21.3,2025.0,4.0,12.0,114.0,,68.0,198.0,Georgia,2025
27,17057,162f3110-24fe-11f0-9c33-270dfe4c58dc,23014.0,00-0040400,144917.0,12515.0,58841.0,4431536.0,,,26697211.0,,,18444.0,,,42226.0,0.0,25755.0,,Donovan Edwards,donovan edwards,RB,WAS,2003-02-25,22.6,2025.0,,,,,73.0,212.0,Michigan,2025
28,17058,8d50af87-f6dc-42cb-a7e7-11716667a1dc,26212.0,00-0040208,123133.0,12543.0,58398.0,4429299.0,,,3168518.0,BrooTa00,,18519.0,,1758.0,41983.0,0.0,25949.0,,Tahj Brooks,tahj brooks,RB,CIN,2002-05-13,23.4,2025.0,6.0,17.0,193.0,,69.0,220.0,Texas Tech,2025
29,17059,42753bb4-a416-4d40-bf81-f20d2181be2f,25984.0,00-0040198,157792.0,12495.0,58384.0,4711533.0,,,28873887.0,GordOl00,,18450.0,,1759.0,41969.0,0.0,25953.0,,Ollie Gordon,ollie gordon,RB,MIA,2004-01-15,21.8,2025.0,6.0,3.0,179.0,,74.0,225.0,Oklahoma State,2025
30,17060,73ffa6e6-7fb3-4f34-a856-38bfd62cca15,27097.0,00-0040179,144595.0,12471.0,58356.0,4874509.0,,,26695679.0,GiddDJ00,,18443.0,,1760.0,41937.0,0.0,25900.0,,DJ Giddens,dj giddens,RB,IND,2003-08-26,22.1,2025.0,5.0,13.0,151.0,,72.0,212.0,Kansas State,2025
31,17061,14aedd06-41a6-41db-8c5e-05483f91570d,27285.0,00-0040238,158290.0,12544.0,58441.0,4911851.0,,,28877884.0,AlleLe01,,18476.0,,1761.0,42007.0,0.0,25986.0,,LeQuint Allen,lequint allen,RB,JAC,2004-08-05,21.2,2025.0,7.0,20.0,236.0,,72.0,201.0,Syracuse,2025
32,17062,09b7c5d0-23ca-11f0-97f8-1902f784caec,24351.0,00-0040466,146626.0,12472.0,58911.0,4601080.0,,,26700087.0,SandRa00,,18526.0,,,42139.0,0.0,26080.0,,Raheim Sanders,raheim sanders,RB,CLE,2002-06-08,23.4,2025.0,,,,,72.0,230.0,South Carolina,2025
33,17063,54b97d06-1639-46a3-9dcc-67320687281d,22928.0,00-0040021,144123.0,12738.0,58444.0,4431562.0,,,26695049.0,MafaPh00,,18531.0,,1763.0,42018.0,0.0,25955.0,,Phil Mafah,phil mafah,RB,DAL,2002-10-24,23.0,2025.0,7.0,23.0,239.0,,72.0,234.0,Clemson,2025
34,17064,e71d4c32-3233-467f-ab01-71de34e5d9b4,24335.0,00-0040692,146662.0,11569.0,58322.0,4710341.0,,,26700820.0,HuntJa03,,18523.0,,1764.0,41919.0,0.0,24990.0,,Jarquez Hunter,jarquez hunter,RB,LAR,2002-12-29,22.8,2025.0,4.0,15.0,117.0,,69.0,204.0,Auburn,2025
35,17065,,,,,,,,,,,,,,,,,0.0,,,Henry Parrish,henry parrish,RB,FA,,,2025.0,,,,,70.0,185.0,Mississippi,2025
36,17066,6edec23b-f938-40f7-a151-1db5374880dd,27131.0,00-0040236,129891.0,12534.0,58438.0,4608686.0,,,3177368.0,MonaKy00,,18520.0,,1766.0,42025.0,0.0,25952.0,,Kyle Monangai,kyle monangai,RB,CHI,2002-06-06,23.4,2025.0,7.0,17.0,233.0,,68.0,207.0,Rutgers,2025
37,17067,,,,,,,,,,,,,,,,,0.0,,,John Emery,john emery,RB,FA,,,2025.0,,,,,72.0,220.0,LSU,2025
38,17068,fc6dbb83-b2b1-4962-b793-e79b2378b525,27142.0,00-0040730,99622.0,12489.0,58265.0,4568490.0,,,3121207.0,HarvRJ00,,18522.0,,1768.0,41845.0,0.0,25944.0,,RJ Harvey,rj harvey,RB,DEN,2001-02-04,24.7,2025.0,2.0,28.0,60.0,,68.0,205.0,UCF,2025
39,17069,f5e6eb8e-2c76-4bf9-b47f-57c62659341d,24344.0,00-0040586,157303.0,12457.0,58354.0,4685279.0,,,28875227.0,BlueJa01,,18499.0,,1769.0,41935.0,0.0,26038.0,,Jaydon Blue,jaydon blue,RB,DAL,2004-01-08,21.8,2025.0,5.0,11.0,149.0,,69.0,196.0,Texas,2025
40,17070,a4c21977-c9d1-40f8-abee-0862dfab9195,27016.0,00-0040735,157170.0,12519.0,58244.0,4685278.0,,,28874444.0,BurdLu00,,18548.0,,1770.0,41824.0,0.0,26044.0,,Luther Burden,luther burden,WR,CHI,2003-12-12,21.8,2025.0,2.0,7.0,39.0,,72.0,210.0,Missouri,2025
41,17071,874de000-586c-4999-ac12-02766563e200,25417.0,00-0040124,158735.0,12526.0,58210.0,4685472.0,,,28877124.0,McMiTe00,,18547.0,,1771.0,41793.0,0.0,26054.0,,Tetairoa McMillan,tetairoa mcmillan,WR,CAR,2003-04-05,22.5,2025.0,1.0,8.0,8.0,,77.0,212.0,Arizona,2025
42,17072,a45328a1-7d0e-451a-8176-ea30f0e1c86f,26215.0,00-0040727,122676.0,12509.0,58260.0,4686612.0,,,3162525.0,HarrTr03,,18478.0,,1772.0,41840.0,0.0,25925.0,,Tre Harris,tre harris,WR,LAC,2002-02-28,23.6,2025.0,2.0,23.0,55.0,,75.0,210.0,Ole Miss,2025
43,17073,6c773a16-1a93-4845-a519-d56c85e0090f,27059.0,00-0040170,157263.0,12499.0,58341.0,4883647.0,,,28900714.0,AyomEl00,,18552.0,,1773.0,41904.0,0.0,25964.0,,Elic Ayomanor,elic ayomanor,WR,TEN,2003-06-03,22.4,2025.0,4.0,34.0,136.0,,74.0,206.0,Stanford,2025
44,17074,4a975d4c-d7cd-45ef-b258-db45187140eb,26034.0,00-0040718,160766.0,12530.0,58204.0,4685415.0,,,28909849.0,HuntTr00,,18578.0,,1774.0,41787.0,0.0,26056.0,,Travis Hunter,travis hunter,WR,JAC,2003-05-18,22.4,2025.0,1.0,2.0,2.0,,73.0,185.0,Colorado,2025
45,17075,d1963360-c011-4764-9a36-9e627073f68f,26024.0,00-0040667,156165.0,12501.0,58225.0,4701936.0,,,28874927.0,GoldMa02,,18500.0,,1775.0,41808.0,0.0,25922.0,,Matthew Golden,matthew golden,WR,GBP,2003-08-01,22.2,2025.0,1.0,23.0,23.0,,71.0,191.0,Texas,2025
46,17076,6ceb1330-795d-11f0-aadf-fbc926339e02,24371.0,00-0040782,163586.0,12503.0,59278.0,4808839.0,,,,BondIs00,,18502.0,,,42598.0,0.0,26034.0,,Isaiah Bond,isaiah bond,WR,CLE,2004-03-15,21.6,2025.0,,,,,71.0,180.0,Texas,2025
47,17077,3ac9d7c0-2560-11f0-af22-1731557928d7,27066.0,00-0040522,122220.0,12520.0,58968.0,4431353.0,,,3163221.0,RestXa00,,18466.0,,1777.0,42368.0,0.0,25926.0,,Xavier Restrepo,xavier restrepo,WR,TEN,2002-04-12,23.5,2025.0,,,,,70.0,202.0,Miami (FL),2025
48,17078,01079767-a3a3-437d-b935-ea0ecb1fe68b,27224.0,00-0040729,146771.0,12483.0,58263.0,4603186.0,,,26700682.0,BechJa00,,18457.0,,1778.0,41843.0,0.0,25894.0,,Jack Bech,jack bech,WR,LVR,2002-12-18,22.8,2025.0,2.0,26.0,58.0,,73.0,214.0,TCU,2025
49,17079,ad756d40-39a0-4f5c-bbf5-f31f4c3ee0a6,27147.0,00-0040237,123709.0,12485.0,58440.0,4608810.0,,,3161539.0,JohnTe03,,18484.0,,1779.0,42030.0,0.0,25934.0,,Tez Johnson,tez johnson,WR,TBB,2002-05-18,23.4,2025.0,7.0,19.0,235.0,,70.0,165.0,Oregon,2025
50,17080,c4bab22e-a89a-41f6-b03a-07073a72f41b,27122.0,00-0040138,125155.0,12536.0,58284.0,4586312.0,,,26697286.0,NoelJa00,,18555.0,,1780.0,41885.0,0.0,25914.0,,Jaylin Noel,jaylin noel,WR,HOU,2002-09-04,23.1,2025.0,3.0,15.0,79.0,,71.0,201.0,Iowa State,2025
51,17081,00cea287-1fa0-4584-803f-59f546ef8722,23062.0,00-0040129,145055.0,12514.0,58221.0,4567750.0,,,26696165.0,EgbuEm01,,18549.0,,1781.0,41804.0,0.0,26092.0,,Emeka Egbuka,emeka egbuka,WR,TBB,2002-10-14,23.0,2025.0,1.0,19.0,19.0,,73.0,205.0,Ohio State,2025
52,17082,2858209e-4aa7-4539-9901-99a4d881229c,27211.0,00-0040134,144800.0,12492.0,58279.0,4600981.0,,,26697415.0,BryaPa00,,18562.0,,1782.0,41860.0,0.0,25975.0,,Pat Bryant,pat bryant,WR,DEN,2002-12-10,22.9,2025.0,3.0,10.0,74.0,,74.0,204.0,Illinois,2025
53,17083,f55444a9-ccad-4343-bb03-caca6ea3de99,27077.0,00-0040130,150240.0,12484.0,58239.0,4877706.0,,,26708551.0,HiggJa00,,18551.0,,1783.0,41819.0,0.0,26094.0,,Jayden Higgins,jayden higgins,WR,HOU,2002-12-15,22.8,2025.0,2.0,2.0,34.0,,76.0,215.0,Iowa State,2025
54,17084,f2e485f8-ba20-4c1c-b279-41dcdcb28d03,27186.0,00-0040653,129639.0,12475.0,58443.0,4431479.0,,,3169795.0,WhitRi01,,18560.0,,,42042.0,0.0,25010.0,,Ricky White,ricky white,WR,FA,2002-02-06,23.7,2025.0,7.0,22.0,238.0,,73.0,184.0,UNLV,2025
55,17085,1edb3290-2518-11f0-972e-efd9d03db8c5,27455.0,,,12972.0,,4431597.0,,,26733219.0,,,18651.0,,,42279.0,0.0,,,Roc Taylor,roc taylor,WR,FA,2002-08-26,23.1,2025.0,,,,,73.0,213.0,Memphis,2025
56,17086,0ef78810-a38b-4444-b3b9-fb8b293c567d,27076.0,00-0040646,163442.0,12505.0,58338.0,5082630.0,,,28924106.0,RoyaJa00,,18550.0,,1786.0,41891.0,0.0,25911.0,,Jalen Royals,jalen royals,WR,KCC,2003-02-18,22.7,2025.0,4.0,31.0,133.0,,72.0,195.0,Utah State,2025
57,17087,483606b2-c0c9-4da2-8fcf-73d2615756c7,27288.0,00-0040581,146547.0,12541.0,58313.0,4432775.0,,,26694424.0,ThorDo00,,18558.0,,1787.0,41892.0,0.0,26102.0,,Dont'e Thornton,donte thornton,WR,LVR,2002-11-30,22.9,2025.0,4.0,6.0,108.0,,77.0,205.0,Tennessee,2025
58,17088,277f6ff0-2442-11f0-ac20-e1591f73b631,27222.0,00-0040311,98005.0,12860.0,58747.0,4426535.0,,,3124276.0,WeasTh00,,18645.0,,,42161.0,0.0,23169.0,,Theo Wease,theo wease,WR,MIA,2001-06-25,24.3,2025.0,,,,,74.0,210.0,Missouri,2025
59,17089,483872b0-2630-11f0-b7f1-df7c830143e7,27218.0,,,12460.0,,,,,,,,18559.0,,,,0.0,26081.0,,Antwane Wells,antwane wells,WR,NYG,2001-04-02,24.5,2025.0,,,,,72.0,205.0,Ole Miss,2025
60,17090,3e9fe6f0-2619-11f0-8447-731004665991,23063.0,,,13108.0,,4430800.0,,,,,,17067.0,,,42423.0,0.0,,,Julian Fleming,julian fleming,WR,FA,2000-12-19,24.8,2025.0,,,,,74.0,208.0,Penn State,2025
61,17091,0ed739f0-29de-11f0-9cc3-6301091945e0,22887.0,00-0040315,146587.0,12532.0,58751.0,4431506.0,,,26702195.0,BrooJa04,,18561.0,,,42482.0,0.0,26089.0,,Ja'Corey Brooks,jacorey brooks,WR,WAS,2001-10-31,24.0,2025.0,,,,,75.0,195.0,Louisville,2025
62,17092,71bd62b0-3ccb-11f0-b22b-71ee09ef21d6,27450.0,,,13225.0,,4587977.0,,,29052184.0,,,18468.0,,,42545.0,0.0,,,Sam Brown,sam brown,WR,FA,2002-08-15,23.2,2025.0,,,,,74.0,200.0,Miami (FL),2025
63,17093,8a410ba0-23a5-11f0-8d5d-1b4f09989b68,26061.0,,,12810.0,,4429184.0,,,3163150.0,,,18570.0,,,42111.0,0.0,,,Elijhah Badger,elijhah badger,WR,FA,2001-08-15,24.2,2025.0,,,,,73.0,192.0,Florida,2025
64,17094,,,,,,,,,,,,,18456.0,,,,0.0,,,Kyren Lacy,kyren lacy,XX,FA,,,2025.0,,,,,74.0,213.0,LSU,2025
65,17095,a6f8abf0-25f7-11f0-8ecb-77a06236c534,27075.0,,,12488.0,,4429056.0,,,3161851.0,,,18557.0,,,42404.0,0.0,,,Kobe Hudson,kobe hudson,WR,FA,2001-09-11,24.1,2025.0,,,,,72.0,193.0,UCF,2025
66,17096,06fb642c-b10b-4b23-966a-13668a7c4426,27144.0,00-0040009,123101.0,12482.0,58292.0,4431487.0,,,3161844.0,WillSa01,,18554.0,,1796.0,41851.0,0.0,26105.0,,Savion Williams,savion williams,WR,GBP,2001-11-22,23.9,2025.0,3.0,23.0,87.0,,76.0,222.0,TCU,2025
67,17097,1eeea030-3313-4aab-b33c-9f836710354a,27182.0,00-0040154,144886.0,12496.0,58307.0,4565185.0,,,26702969.0,FeltTa00,,18553.0,,1797.0,41859.0,0.0,25924.0,,Tai Felton,tai felton,WR,MIN,2003-03-15,22.6,2025.0,3.0,38.0,102.0,,73.0,183.0,Maryland,2025
68,17098,66dd47a3-fb5d-434f-a580-b2069e2904f8,26022.0,00-0040648,128232.0,12497.0,58371.0,4597703.0,,,3165177.0,HortTo00,,17772.0,,1798.0,41952.0,0.0,24989.0,,Tory Horton,tory horton,WR,SEA,2002-11-29,22.9,2025.0,5.0,28.0,166.0,,74.0,196.0,Colorado State,2025
69,17099,6af50530-145a-4b34-946d-ce1a7f7d3166,25997.0,00-0040189,144046.0,12493.0,58370.0,4595342.0,,,26727374.0,GadsOr01,,18481.0,,1799.0,41951.0,0.0,25876.0,,Oronde Gadsden,oronde gadsden,TE,LAC,2003-06-25,22.3,2025.0,5.0,27.0,165.0,,77.0,236.0,Syracuse,2025
70,17100,e3e4c450-2466-11f0-aa27-6de335b6b2a0,27263.0,00-0040551,98679.0,12478.0,58997.0,4570242.0,,,3123884.0,NashNi00,,18455.0,,,42185.0,0.0,25937.0,,Nick Nash,nick nash,WR,FA,2000-08-02,25.2,2025.0,,,,,75.0,195.0,San Jose State,2025
71,17101,557ec8cb-2700-4dcb-8d5e-db0e0e5a8ef5,25413.0,,,12721.0,,4431509.0,,,26694721.0,,,18563.0,,,42020.0,0.0,,,Kaden Prather,kaden prather,WR,FA,2002-09-06,23.1,2025.0,7.0,24.0,,,75.0,204.0,Maryland,2025
72,17102,c8fe3913-1210-4142-b9c1-c119ef702ca5,26434.0,00-0040128,129798.0,12518.0,58216.0,4431459.0,,,3168800.0,WarrTy00,,18534.0,,1802.0,41799.0,0.0,25874.0,,Tyler Warren,tyler warren,TE,IND,2002-05-24,23.4,2025.0,1.0,14.0,14.0,,78.0,256.0,Penn State,2025
73,17103,8bdf2df7-b51c-4404-b153-8dc62b1e0845,27050.0,00-0040663,163104.0,12506.0,58272.0,5083076.0,,,28900882.0,FannHa00,,18472.0,,1803.0,41877.0,0.0,25870.0,,Harold Fannin,harold fannin,TE,CLE,2004-07-20,21.2,2025.0,3.0,3.0,67.0,,76.0,241.0,Bowling Green,2025
74,17104,62cd2cd5-8b40-4ee6-bfb8-0083edd105a2,26006.0,00-0040126,158540.0,12517.0,58212.0,4723086.0,,,28874696.0,LoveCo00,,18460.0,,1804.0,41795.0,0.0,25869.0,,Colston Loveland,colston loveland,TE,CHI,2004-04-09,21.5,2025.0,1.0,10.0,10.0,,78.0,241.0,Michigan,2025
75,17105,beb69cba-f240-43ed-88d3-50d066cf55d4,27109.0,00-0040584,144726.0,12502.0,58325.0,4686728.0,,,26696189.0,HelmGu00,,18503.0,,1805.0,41905.0,0.0,25962.0,,Gunnar Helm,gunnar helm,TE,TEN,2002-09-06,23.1,2025.0,4.0,18.0,120.0,,77.0,241.0,Texas,2025
76,17106,07d2be51-73c2-4f26-81d5-bc6e9b88bff2,26005.0,00-0040736,157122.0,12498.0,58247.0,4808766.0,,,28878064.0,TaylMa02,,18535.0,,1806.0,41827.0,0.0,25963.0,,Mason Taylor,mason taylor,TE,NYJ,2004-05-08,21.4,2025.0,2.0,10.0,42.0,,77.0,251.0,LSU,2025
77,17107,fdfc7b8e-a202-4459-91f8-be6e053e5d29,23091.0,00-0040737,146563.0,12487.0,58251.0,4570037.0,,,26701481.0,FergTe00,,18497.0,,1807.0,41831.0,0.0,25970.0,,Terrance Ferguson,terrance ferguson,TE,LAR,2003-03-07,22.6,2025.0,2.0,14.0,46.0,,77.0,247.0,Oregon,2025
78,17108,98bc7c8c-e6e4-4694-a0ef-d3f25274223e,23004.0,00-0040739,143933.0,12521.0,58255.0,4678006.0,,,26700496.0,ArroEl00,,18540.0,,1808.0,41835.0,0.0,26032.0,,Elijah Arroyo,elijah arroyo,TE,SEA,2003-04-05,22.5,2025.0,2.0,18.0,50.0,,77.0,254.0,Miami (FL),2025
79,17109,788b494d-d624-46ae-a956-81bd10f6a044,27138.0,00-0040187,147486.0,12473.0,58368.0,4683243.0,,,26693662.0,EvanMi01,,18545.0,,,41949.0,0.0,25875.0,,Mitchell Evans,mitchell evans,TE,CAR,2003-03-18,22.6,2025.0,5.0,25.0,163.0,,77.0,258.0,Notre Dame,2025
80,17110,,,,,11594.0,,,,,2965087.0,,,18541.0,,,,0.0,,,Brant Kuithe,brant kuithe,TE,FA,,,2025.0,,,,,74.0,236.0,Utah,2025
81,17111,eeb9ef87-859a-407b-a17a-c671dd6a863a,22977.0,00-0040250,129475.0,12725.0,58460.0,4432338.0,,,3163014.0,LachLu00,,18546.0,,,42041.0,0.0,25873.0,,Luke Lachey,luke lachey,TE,FA,2001-06-29,24.3,2025.0,7.0,39.0,255.0,,78.0,247.0,Iowa,2025
82,17112,95fa8be3-3be8-45bb-9475-60a444e1af74,27022.0,00-0040677,164160.0,12574.0,58205.0,4725996.0,,,28890311.0,CartAb00,,18581.0,,,41788.0,0.0,26016.0,,Abdul Carter,abdul carter,DE,NYG,2004-01-02,21.8,2025.0,1.0,3.0,3.0,,75.0,252.0,Penn State,2025
