,mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season,cleaned_name,match_key,mapped_ids
2814,13720,,,,,,,,,,2131082.0,,,12661.0,,,,0.0,,,Drew Brown,drew brown,PK,FA,,,2018.0,,,,,,,Nebraska,2025,Drew Brown,Drew Brown_<NA>,
3131,13122,,,,,,,,,,2001265.0,,,11842.0,,,,0.0,,,Seth Russell,seth russell,QB,FA,,,2017.0,,,,,,,Baylor,2025,Seth Russell,Seth Russell_<NA>,
3135,13126,,,,,,,,,,,,,,,,,0.0,,,Gunner Kiel,gunner kiel,QB,FA,,,2017.0,,,,,,,Cincinnati,2025,Gunner Kiel,Gunner Kiel_<NA>,
3156,13147,,,,,,,,,,,,,12188.0,,,,0.0,,,Shock Linwood,shock linwood,RB,FA,,,2017.0,,,,,,,Baylor,2025,Shock Linwood,Shock Linwood_<NA>,
3160,13151,cf338764-9e5b-488e-888f-2443b0b5fc64,,,,4923.0,,2970270.0,30390.0,,,,,11772.0,,,,0.0,19161.0,,Rushel Shell,rushel shell,RB,FA,1993-09-07,32.1,2017.0,,,,,70.0,225.0,West Virginia,2025,Rushel Shell,Rushel Shell_<NA>,
3527,14576,2e67a3f9-b3e8-409b-a61f-adc76fb83115,,00-0034035,48081.0,4829.0,45859.0,3060347.0,30938.0,,,,,12374.0,,,,753865.0,19733.0,,Daniel Williams,daniel williams,WR,FA,1995-08-06,25.8,2017.0,,,,,75.0,200.0,Jackson State,2025,Daniel Williams,Daniel Williams_<NA>,
3543,12622,,,,,,,,,,,,,10875.0,11268.0,,,0.0,,,Vernon Adams,vernon adams,QB,FA,,,2016.0,,,,,,,Oregon,2025,Vernon Adams,Vernon Adams_<NA>,
3545,12624,,,,,,,,,,1892464.0,,,,11631.0,,,0.0,,,Blake Frohnapfel,blake frohnapfel,QB,FA,,,2016.0,,,,,,,Massachusetts,2025,Blake Frohnapfel,Blake Frohnapfel_<NA>,
3587,12666,,,,,,,,,,2071871.0,,,10833.0,11331.0,,,0.0,,,De'Runnya Wilson,derunnya wilson,WR,FA,,,2016.0,,,,,,,Mississippi State,2025,DeRunnya Wilson,DeRunnya Wilson_<NA>,
3644,12732,,,,,,,,,,,,,,,,,0.0,,,Terron Beckham,terron beckham,RB,FA,,,2016.0,,,,,,,,2025,Terron Beckham,Terron Beckham_<NA>,
3843,12936,74bb4fa1-3ad4-4376-83d7-bb993da9149e,,00-0032876,11238.0,3621.0,43943.0,2972065.0,29865.0,,2237119.0,WillJo08,,11077.0,11579.0,,,598693.0,18408.0,,Jordan Williams,jordan williams,WR,NOS,1994-05-09,27.0,2016.0,,,,,75.0,228.0,Ball State,2025,Jordan Williams,Jordan Williams_<NA>,
3985,12147,,,,,,,,,,,,,10514.0,,,,0.0,,,Taylor Kelly,taylor kelly,QB,FA,,,2015.0,,,,,,,Arizona State,2025,Taylor Kelly,Taylor Kelly_<NA>,
4006,12168,,,,,,,,,,1824784.0,,,10204.0,,,,0.0,,,Dee Hart,dee hart,RB,FA,,,2015.0,,,,,,,Colorado State,2025,Dee Hart,Dee Hart_<NA>,
4010,12172,,,,,,,,,,,,,,,,,0.0,,,Desmond Roland,desmond roland,RB,FA,,,2015.0,,,,,,,Oklahoma State,2025,Desmond Roland,Desmond Roland_<NA>,
4223,12389,a264a0ea-f8c7-4d31-92c3-93c77d2569de,,,,,,,,,,,,10190.0,10663.0,,,0.0,,,Malcolm Agnew,malcolm agnew,RB,FA,1993-05-17,28.0,2015.0,,,,,70.0,202.0,Southern Illinois,2025,Malcolm Agnew,Malcolm Agnew_<NA>,
4246,12412,,,,,,,,,,1776297.0,,,10174.0,10437.0,,,0.0,,,Brandon Bridge,brandon bridge,QB,FA,1992-03-21,29.1,2015.0,,,,,76.0,229.0,South Alabama,2025,Brandon Bridge,Brandon Bridge_<NA>,
4788,11160,,,,,,,,,,1630750.0,,,8755.0,8460.0,,,0.0,,,Collin Klein,collin klein,QB,FA,,,2013.0,,,,,,,Kansas State,2025,Collin Klein,Collin Klein_<NA>,
4797,11169,,,,,,,,,,1631205.0,,,,,,,0.0,,,Ryan Aplin,ryan aplin,QB,FA,,,2013.0,,,,,,,Arkansas State,2025,Ryan Aplin,Ryan Aplin_<NA>,
4800,11172,,,,,,,,,,,,,8756.0,,,,0.0,,,Nick Florence,nick florence,QB,FA,,,2013.0,,,,,,,Baylor,2025,Nick Florence,Nick Florence_<NA>,
4815,11187,,,,,,,,,,1630429.0,,,,,,,0.0,,,Montel Harris,montel harris,RB,FA,,,2013.0,,,,,,,Temple,2025,Montel Harris,Montel Harris_<NA>,
4832,11205,,,,,,,,,,,,,,,,,0.0,,,John White,john white,RB,FA,,,2013.0,,,,,,,Utah,2025,John White,John White_<NA>,
4834,11207,,,,,,,,,,,,,,,,,0.0,,,Perry Jones,perry jones,RB,FA,,,2013.0,,,,,,,Virginia,2025,Perry Jones,Perry Jones_<NA>,
4923,11296,,,,,,,,,,1724998.0,,,,,,,0.0,,,Khaseem Green,khaseem green,XX,FA,,,2013.0,,,,,,,Rutgers,2025,Khaseem Green,Khaseem Green_<NA>,
5880,10606,,,,,,,,,,,,,,,,,0.0,,,Edmund Gates,edmund gates,XX,FA,,,2011.0,,,,,71.0,197.0,Abilene Christian,2025,Edmund Gates,Edmund Gates_<NA>,
6595,9698,,,,,,,,,,,,,,5465.0,,,0.0,,,Aaron Kelly,aaron kelly,WR,FA,1986-04-02,35.1,2009.0,,,,,76.0,204.0,Clemson,2025,Aaron Kelly,Aaron Kelly_<NA>,
6663,9046,,,,,,,,,,563911.0,,,,4660.0,,,0.0,,,Adarius Bowman,adarius bowman,WR,FA,,,2008.0,,,,,,,Oklahoma St.,2025,Adarius Bowman,Adarius Bowman_<NA>,
7032,8745,,,,,,,,,,,,,,,,,0.0,,,Marc Hickock,marc hickock,PK,FA,,,2007.0,,,,,,,Connecticut,2025,Marc Hickock,Marc Hickock_<NA>,
7201,8979,,,,,,,,,,1226361.0,,,5540.0,4549.0,,,0.0,,,Rudy Sylvan,rudy sylvan,TE,FA,1984-12-23,36.4,2007.0,,,,,76.0,272.0,Ohio,2025,Rudy Sylvan,Rudy Sylvan_<NA>,
7338,8345,,,,,,,,,,419784.0,,,,3736.0,,,0.0,,,Cory Rodgers,cory rodgers,WR,FA,,,2006.0,4.0,7.0,,,,187.0,Texas Christian,2025,Cory Rodgers,Cory Rodgers_<NA>,
7562,8923,,,,,,,,,,1226329.0,,,,,,,0.0,,,Joe Rubin,joe rubin,RB,FA,1982-11-23,38.5,2006.0,,,,,71.0,225.0,Portland State,2025,Joe Rubin,Joe Rubin_<NA>,
7784,8055,,,,,,,,,,,,,4404.0,3239.0,,,0.0,,,Anthony Davis,anthony davis,RB,FA,,,2005.0,7.0,29.0,,,67.0,,Wisconsin,2025,Anthony Davis,Anthony Davis_<NA>,
8223,7087,,,,,,,,,,,,,3113.0,,,,0.0,,,Jon Olinger,jon olinger,WR,FA,1980-08-24,40.7,2003.0,5.0,24.0,,,75.0,223.0,Cincinnati,2025,Jon Olinger,Jon Olinger_<NA>,
8271,7146,,,,,,,,,,,MacKMa20,malaefou-mackenzie-1,,,,,0.0,,,Malaefou Mackenzie,malaefou mackenzie,RB,FA,,,2003.0,7.0,4.0,218.0,,70.0,233.0,Southern California,2025,Malaefou Mackenzie,Malaefou Mackenzie_<NA>,
8280,7159,,,,,,,,,,,GardTa00,talman-gardner-1,3137.0,1035.0,,,0.0,,,Talman Gardner,talman gardner,WR,FA,1980-03-10,41.2,2003.0,7.0,17.0,231.0,,73.0,205.0,Florida State,2025,Talman Gardner,Talman Gardner_<NA>,
8282,7162,,,,,,,,,,,NeadSp00,spencer-nead-1,3139.0,,,,0.0,,,Spencer Nead,spencer nead,TE,FA,,,2003.0,7.0,20.0,234.0,,76.0,259.0,Brigham Young,2025,Spencer Nead,Spencer Nead_<NA>,
8300,7188,,,,,,,,,,,,,3149.0,1839.0,,,0.0,,,Travis Anglin,travis anglin,WR,FA,,,2003.0,7.0,46.0,,,76.0,192.0,Memphis,2025,Travis Anglin,Travis Anglin_<NA>,
8403,6594,,,,,,,,,,,,,2586.0,,,,0.0,,,Marquise Walker,marquise walker,WR,FA,1978-12-11,42.4,2002.0,3.0,21.0,,,74.0,219.0,Michigan,2025,Marquise Walker,Marquise Walker_<NA>,
8433,6627,,,,,,,,,,,StepTr01,travis-stephens-1,2598.0,,,,0.0,,,Travis Stephens,travis stephens,RB,FA,1978-06-26,42.9,2002.0,4.0,21.0,119.0,,68.0,194.0,Tennessee,2025,Travis Stephens,Travis Stephens_<NA>,
8437,6631,,,,,,,,,,,JohnRo03,ron-johnson-1,,,,,0.0,,,Ron Johnson,ron johnson,WR,FA,1980-05-23,41.0,2002.0,4.0,25.0,123.0,,,225.0,Minnesota,2025,Ron Johnson,Ron Johnson_<NA>,
8447,6645,,,,,,,,,,,FasaRa00,randy-fasani-1,,,,,0.0,,,Randy Fasani,randy fasani,QB,FA,1978-09-18,42.6,2002.0,5.0,2.0,137.0,,75.0,234.0,Stanford,2025,Randy Fasani,Randy Fasani_<NA>,
8452,6650,,,,,,,,,,,,,2605.0,,,,0.0,,,Terry Charles,terry charles,WR,FA,1979-07-08,41.8,2002.0,5.0,7.0,,,75.0,207.0,Portland State,2025,Terry Charles,Terry Charles_<NA>,
8494,6705,,,,,,,,,,,NedxLa00,larry-ned-1,2628.0,,,,0.0,,,Larry Ned,larry ned,RB,FA,1978-08-23,42.7,2002.0,6.0,25.0,197.0,,71.0,219.0,San Diego State,2025,Larry Ned,Larry Ned_<NA>,
8500,6712,,,,,,,,,,,AlleBr20,brian-allen-2,2633.0,1538.0,,,0.0,,,Brian Allen,brian allen,RB,FA,1980-04-20,41.0,2002.0,6.0,32.0,204.0,,69.0,209.0,Stanford,2025,Brian Allen,Brian Allen_<NA>,
8507,6722,,,,,,,,,,,,,2524.0,,,,0.0,,,Luke Staley,luke staley,RB,FA,1980-09-16,40.6,2002.0,7.0,3.0,,,73.0,227.0,Brigham Young,2025,Luke Staley,Luke Staley_<NA>,
8508,6724,,,,,,,,,,,,,3473.0,,,,0.0,,,Seth Burford,seth burford,QB,FA,1979-03-11,42.2,2002.0,7.0,5.0,,,75.0,241.0,,2025,Seth Burford,Seth Burford_<NA>,
8511,6730,,,,,,,,,,302097.0,NewsKe00,kendall-newson-1,3301.0,1279.0,,,0.0,,,Kendall Newson,kendall newson,WR,FA,1980-03-05,41.2,2002.0,7.0,11.0,222.0,,,183.0,Middle Tennessee Sta,2025,Kendall Newson,Kendall Newson_<NA>,
8512,6731,,,,,,,,,,,BankMi20,mike-banks-1,2852.0,,,,0.0,,,Mike Banks,mike banks,TE,FA,1979-11-05,41.5,2002.0,7.0,12.0,223.0,,76.0,260.0,Iowa State,2025,Mike Banks,Mike Banks_<NA>,
8517,6738,,,,,,,,,,,GrauJe20,,3486.0,,,,0.0,,,Jeff Grau,jeff grau,TE,FA,1979-12-16,41.4,2002.0,7.0,19.0,230.0,,75.0,246.0,UCLA,2025,Jeff Grau,Jeff Grau_<NA>,
8519,6740,,,,,,,,,,,KellJe21,jeff-kelly-1,2726.0,,,,0.0,,,Jeff Kelly,jeff kelly,QB,FA,1979-09-07,41.7,2002.0,7.0,21.0,232.0,,73.0,206.0,Southern Mississippi,2025,Jeff Kelly,Jeff Kelly_<NA>,
8523,6744,,,,,,,,,,,,,2722.0,,,,0.0,,,Wes Pate,wes pate,QB,FA,1979-03-24,42.1,2002.0,7.0,25.0,,,,228.0,Stephen F. Austin,2025,Wes Pate,Wes Pate_<NA>,
8524,6745,,,,,,,,,,,,,2650.0,,,,0.0,,,Antwoine Womack,antwoine womack,RB,FA,1978-03-20,43.1,2002.0,7.0,26.0,,,,214.0,Virginia,2025,Antwoine Womack,Antwoine Womack_<NA>,
8530,6755,,,,,,,,,,,epstehay01,hayden-epstein-1,2697.0,1214.0,,,0.0,,,Hayden Epstein,hayden epstein,PK,FA,1980-11-16,40.5,2002.0,7.0,36.0,247.0,,,212.0,Michigan,2025,Hayden Epstein,Hayden Epstein_<NA>,
8532,6758,,,,,,,,,,,,,2728.0,,,,0.0,,,Tracey Wistrom,tracey wistrom,TE,FA,1978-08-28,42.7,2002.0,7.0,39.0,,,76.0,245.0,Nebraska,2025,Tracey Wistrom,Tracey Wistrom_<NA>,
8628,4978,,,,,,,,,,,,,2233.0,,,,0.0,,,Marvin Minnis,marvin minnis,WR,FA,1977-02-06,44.2,2001.0,3.0,15.0,,,73.0,170.0,Florida State,2025,Marvin Minnis,Marvin Minnis_<NA>,
8645,5002,,,,,,,,,,,gramabil01,bill-gramatica-2,2240.0,2081.0,,,0.0,,,Bill Gramatica,bill gramatica,PK,FA,1978-07-10,42.8,2001.0,4.0,3.0,98.0,,70.0,180.0,South Florida,2025,Bill Gramatica,Bill Gramatica_<NA>,
8653,5013,,,,,,,,,,,LaynGe00,george-layne-1,,,,,0.0,,,George Layne,george layne,RB,FA,1978-10-09,42.6,2001.0,4.0,13.0,108.0,,73.0,250.0,,2025,George Layne,George Layne_<NA>,
8660,5021,,,,,,,,,,,WynnMi00,milton-wynn-1,2382.0,,,,0.0,,,Milton Wynn,milton wynn,WR,BAL,1978-09-21,42.6,2001.0,4.0,21.0,116.0,,74.0,210.0,Washington State,2025,Milton Wynn,Milton Wynn_<NA>,
8662,5024,,,,,,,,,,,HollJa01,jabari-holloway-1,2321.0,,,,0.0,,,Jabari Holloway,jabari holloway,TE,FA,1978-12-18,42.4,2001.0,4.0,24.0,119.0,,,250.0,Notre Dame,2025,Jabari Holloway,Jabari Holloway_<NA>,
8676,5043,,,,,,,,,,,SuthVi00,vinny-sutherland-1,2271.0,,,,0.0,,,Vinny Sutherland,vinny sutherland,WR,FA,1978-04-22,43.0,2001.0,5.0,5.0,136.0,,70.0,190.0,Purdue,2025,Vinny Sutherland,Vinny Sutherland_<NA>,
8688,5063,,,,,,,,,,,,,2312.0,,,,0.0,,,Onome Ojo,onome ojo,WR,FA,1977-06-03,43.9,2001.0,5.0,22.0,,,75.0,200.0,,2025,Onome Ojo,Onome Ojo_<NA>,
8695,5070,,,,,,,,,,,,,,,,,0.0,,,John Markham,john markham,PK,FA,1979-04-27,42.0,2001.0,5.0,29.0,,,73.0,210.0,Vanderbilt,2025,John Markham,John Markham_<NA>,
8697,5072,,,,,,,,,,,,,,,,,0.0,,,Jon Carter,jon carter,WR,FA,1979-03-20,42.1,2001.0,5.0,31.0,,,,175.0,Troy State,2025,Jon Carter,Jon Carter_<NA>,
8700,5076,,,,,,,,,,,,,,,,,0.0,,,Bobby Newcombe,bobby newcombe,WR,FA,1979-08-08,41.7,2001.0,6.0,3.0,,,70.0,190.0,Nebraska,2025,Bobby Newcombe,Bobby Newcombe_<NA>,
8709,5087,,,,,,,,,,,,,2249.0,,,,0.0,,,Josh Heupel,josh heupel,QB,FA,1978-03-22,43.1,2001.0,6.0,14.0,,,74.0,215.0,Oklahoma,2025,Josh Heupel,Josh Heupel_<NA>,
8712,5091,,,,,,,,,,,,,,,,,0.0,,,Arthur Love,arthur love,TE,DEN,1977-09-18,43.6,2001.0,6.0,17.0,,,75.0,240.0,,2025,Arthur Love,Arthur Love_<NA>,
8722,5103,,,,,,,,,,,AlexDa21,dan-alexander-1,2370.0,379.0,,,0.0,,,Dan Alexander,dan alexander,RB,FA,1978-03-17,43.1,2001.0,6.0,29.0,192.0,,71.0,255.0,Nebraska,2025,Dan Alexander,Dan Alexander_<NA>,
8724,5106,,,,,,,,,,,OLeaDa20,dan-oleary-1,,,,,0.0,,,Dan O'Leary,dan oleary,TE,FA,1977-09-01,43.7,2001.0,6.0,32.0,195.0,,76.0,255.0,Notre Dame,2025,Dan OLeary,Dan OLeary_<NA>,
8726,5108,,,,,,,,,,,,,2502.0,,,,0.0,,,Francis St. Paul,francis st paul,WR,FA,1979-04-25,42.0,2001.0,6.0,34.0,,,,180.0,Northern Arizona,2025,Francis St. Paul,Francis St. Paul_<NA>,
8732,5117,,,,,,,,,,,,,2250.0,,,,0.0,,,Dauntae Finger,dauntae finger,TE,FA,1977-04-05,44.1,2001.0,7.0,5.0,,,76.0,255.0,North Carolina,2025,Dauntae Finger,Dauntae Finger_<NA>,
8735,5121,,,,,,,,,,,,,2245.0,,,,0.0,,,John Capel,john capel,WR,FA,,,2001.0,7.0,8.0,,,71.0,180.0,Florida,2025,John Capel,John Capel_<NA>,
8740,5127,,,,,,,,,,,GermRe00,reggie-germany-1,2246.0,,,,0.0,,,Reggie Germany,reggie germany,WR,FA,1978-03-19,43.1,2001.0,7.0,14.0,214.0,,74.0,190.0,Ohio State,2025,Reggie Germany,Reggie Germany_<NA>,
8742,5129,,,,,,,,,,,pochmowe01,owen-pochman-1,2355.0,433.0,,,0.0,,,Owen Pochman,owen pochman,PK,FA,1977-08-02,43.8,2001.0,7.0,16.0,216.0,,,180.0,,2025,Owen Pochman,Owen Pochman_<NA>,
8748,5140,,,,,,,,,,,RobeMi00,mike-roberg-1,2869.0,,,,0.0,,,Mike Roberg,mike roberg,TE,FA,1977-09-18,43.6,2001.0,7.0,27.0,227.0,,76.0,255.0,Idaho,2025,Mike Roberg,Mike Roberg_<NA>,
8750,5142,,,,,,,,,,,RambKe00,ken-yon-rambo-1,2252.0,,,,0.0,,,Ken-yon Rambo,ken-yon rambo,WR,FA,1978-10-04,42.6,2001.0,7.0,29.0,229.0,,73.0,190.0,Ohio State,2025,Ken-yon Rambo,Ken-yon Rambo_<NA>,
8756,5149,,,,,,,,,,,,,,,,,0.0,,,Richmond Flowers,richmond flowers,WR,FA,1978-05-04,43.0,2001.0,7.0,35.0,,,71.0,190.0,,2025,Richmond Flowers,Richmond Flowers_<NA>,
8757,5150,,,,,,,,,,,,,,,,,0.0,,,Dustin McClintock,dustin mcclintock,RB,FA,,,2001.0,7.0,36.0,,,73.0,265.0,Alabama,2025,Dustin McClintock,Dustin McClintock_<NA>,
8765,5159,,,,,,,,,,,KingAn00,andre-king-1,2266.0,,,,0.0,,,Andre King,andre king,WR,FA,1973-11-26,47.4,2001.0,7.0,45.0,245.0,,71.0,200.0,Miami (Fla.),2025,Andre King,Andre King_<NA>,
