Year,G,G,Coach,Offense,Defense,Team
1961,12,0.0,Pop Ivy,,,Arizona Cardinals
1960,12,0.0,Pop Ivy,,,Arizona Cardinals
1959,12,0.0,Pop Ivy,,,Arizona Cardinals
1958,12,0.0,Pop Ivy,,,Arizona Cardinals
1957,12,0.0,Ray Richards,,,Arizona Cardinals
1956,12,0.0,Ray Richards,,,Arizona Cardinals
1955,12,0.0,Ray Richards,,,Arizona Cardinals
1954,12,0.0,Joe Stydahar,,,Arizona Cardinals
1953,12,0.0,Joe Stydahar,,,Arizona Cardinals
1952,12,0.0,Joe Kuharich,,,Arizona Cardinals
1951,2,0.0,Phil Handler,,,Arizona Cardinals
1951,2,0.0,Cecil Isbell,,,Arizona Cardinals
1951,10,0.0,Curly Lambeau,,,Arizona Cardinals
1950,12,0.0,Curly Lambeau,,,Arizona Cardinals
1949,12,0.0,Buddy Parker,,,Arizona Cardinals
1949,6,0.0,Phil Handler,,,Arizona Cardinals
1948,12,1.0,Jimmy Conzelman,,,Arizona Cardinals
1947,12,1.0,Jimmy Conzelman,,,Arizona Cardinals
1946,11,0.0,Jimmy Conzelman,,,Arizona Cardinals
1945,10,0.0,Phil Handler,,,Arizona Cardinals
1944,10,0.0,Phil Handler,,,Arizona Cardinals
1944,10,0.0,Walt Kiesling,,,Arizona Cardinals
1943,10,0.0,Phil Handler,,,Arizona Cardinals
1942,11,0.0,Jimmy Conzelman,,,Arizona Cardinals
1941,11,0.0,Jimmy Conzelman,,,Arizona Cardinals
1940,11,0.0,Jimmy Conzelman,,,Arizona Cardinals
1939,11,0.0,Ernie Nevers,,,Arizona Cardinals
1938,11,0.0,Milan Creighton,,,Arizona Cardinals
1937,11,0.0,Milan Creighton,,,Arizona Cardinals
1936,12,0.0,Milan Creighton,,,Arizona Cardinals
1935,12,0.0,Milan Creighton,,,Arizona Cardinals
1934,11,0.0,Paul Schissler,,,Arizona Cardinals
1933,11,0.0,Paul Schissler,,,Arizona Cardinals
1932,10,0.0,Jack Chevigny,,,Arizona Cardinals
1931,8,0.0,Ernie Nevers,,,Arizona Cardinals
1931,1,0.0,Roy Andrews,,,Arizona Cardinals
1930,13,0.0,Ernie Nevers,,,Arizona Cardinals
1929,13,0.0,Dewey Scanlon,,,Arizona Cardinals
1928,6,0.0,Fred Gillies,,,Arizona Cardinals
1927,11,0.0,Guy Chamberlin,,,Arizona Cardinals
1926,12,0.0,Norm Barry,,,Arizona Cardinals
1925,14,0.0,Norm Barry,,,Arizona Cardinals
1924,10,0.0,Arnie Horween,,,Arizona Cardinals
1923,12,0.0,Arnie Horween,,,Arizona Cardinals
1922,11,0.0,Paddy Driscoll,,,Arizona Cardinals
1921,8,0.0,Paddy Driscoll,,,Arizona Cardinals
1920,10,0.0,Paddy Driscoll,,,Arizona Cardinals
2025,6,,Raheem Morris,Zac Robinson,Jeff Ulbrich,Atlanta Falcons
2024,17,,Raheem Morris,Zac Robinson,Jimmy Lake,Atlanta Falcons
2023,17,,Arthur Smith,Dave Ragone,Ryan Nielsen,Atlanta Falcons
2022,17,,Arthur Smith,Dave Ragone,Dean Pees,Atlanta Falcons
2021,17,,Arthur Smith,Dave Ragone,Dean Pees,Atlanta Falcons
2020,11,,Raheem Morris,Dirk Koetter,Jeff Ulbrich,Atlanta Falcons
2020,5,,Dan Quinn,Dirk Koetter,"Raheem Morris, Jeff Ulbrich",Atlanta Falcons
2019,16,,Dan Quinn,Dirk Koetter,,Atlanta Falcons
2018,16,0.0,Dan Quinn,Steve Sarkisian,Marquand Manuel,Atlanta Falcons
2017,16,2.0,Dan Quinn,Steve Sarkisian,Marquand Manuel,Atlanta Falcons
2016,16,3.0,Dan Quinn,Kyle Shanahan,Richard Smith,Atlanta Falcons
2015,16,0.0,Dan Quinn,Kyle Shanahan,Richard Smith,Atlanta Falcons
2014,16,0.0,Mike Smith,Dirk Koetter,Mike Nolan,Atlanta Falcons
2013,16,0.0,Mike Smith,Dirk Koetter,Mike Nolan,Atlanta Falcons
2012,16,2.0,Mike Smith,Dirk Koetter,Mike Nolan,Atlanta Falcons
2011,16,1.0,Mike Smith,Mike Mularkey,Brian VanGorder,Atlanta Falcons
2010,16,1.0,Mike Smith,Mike Mularkey,Brian VanGorder,Atlanta Falcons
2009,16,0.0,Mike Smith,Mike Mularkey,Brian VanGorder,Atlanta Falcons
2008,16,1.0,Mike Smith,Mike Mularkey,Brian VanGorder,Atlanta Falcons
2007,3,0.0,Emmitt Thomas,Hue Jackson,Mike Zimmer,Atlanta Falcons
2007,13,0.0,Bobby Petrino,Hue Jackson,Mike Zimmer,Atlanta Falcons
2006,16,0.0,Jim Mora,Greg Knapp,Ed Donatell,Atlanta Falcons
2005,16,0.0,Jim Mora,Greg Knapp,Ed Donatell,Atlanta Falcons
2004,16,2.0,Jim Mora,Greg Knapp,Ed Donatell,Atlanta Falcons
2003,3,0.0,Wade Phillips,Pete Mangurian,,Atlanta Falcons
2003,13,0.0,Dan Reeves,Pete Mangurian,Wade Phillips,Atlanta Falcons
2002,16,2.0,Dan Reeves,,Wade Phillips,Atlanta Falcons
2001,16,0.0,Dan Reeves,George Sefcik,Don Blackmon,Atlanta Falcons
2000,16,0.0,Dan Reeves,George Sefcik,Rich Brooks,Atlanta Falcons
1999,16,0.0,Dan Reeves,George Sefcik,Rich Brooks,Atlanta Falcons
1998,16,3.0,Dan Reeves,George Sefcik,Rich Brooks,Atlanta Falcons
1997,16,0.0,Dan Reeves,George Sefcik,Rich Brooks,Atlanta Falcons
1996,16,0.0,June Jones,,Rod Rust,Atlanta Falcons
1995,16,1.0,June Jones,,Joe Haering,Atlanta Falcons
1994,16,0.0,June Jones,,Jim Bates,Atlanta Falcons
1993,16,0.0,Jerry Glanville,June Jones,Doug Shively,Atlanta Falcons
1992,16,0.0,Jerry Glanville,June Jones,Doug Shively,Atlanta Falcons
1991,16,2.0,Jerry Glanville,June Jones,Doug Shively,Atlanta Falcons
1990,16,0.0,Jerry Glanville,Ray Sherman,Doug Shively,Atlanta Falcons
1989,4,0.0,Jim Hanifan,Rod Dowhower,,Atlanta Falcons
1989,12,0.0,Marion Campbell,Rod Dowhower,,Atlanta Falcons
1988,16,0.0,Marion Campbell,Rod Dowhower,,Atlanta Falcons
1987,15,0.0,Marion Campbell,Rod Dowhower,,Atlanta Falcons
1986,16,0.0,Dan Henning,,Marion Campbell,Atlanta Falcons
1985,16,0.0,Dan Henning,,John Marshall,Atlanta Falcons
1984,16,0.0,Dan Henning,Bob Fry,John Marshall,Atlanta Falcons
1983,16,0.0,Dan Henning,Bob Fry,John Marshall,Atlanta Falcons
1982,9,1.0,Leeman Bennett,,Jerry Glanville,Atlanta Falcons
1981,16,0.0,Leeman Bennett,,Jerry Glanville,Atlanta Falcons
1980,16,1.0,Leeman Bennett,,Jerry Glanville,Atlanta Falcons
1979,16,0.0,Leeman Bennett,,Jerry Glanville,Atlanta Falcons
1978,16,2.0,Leeman Bennett,,,Atlanta Falcons
1977,14,0.0,Leeman Bennett,,,Atlanta Falcons
1976,9,0.0,Pat Peppler,"Bill Nelsen, John Rauch",Fred Bruney,Atlanta Falcons
1976,5,0.0,Marion Campbell,"Bill Nelsen, John Rauch",Fred Bruney,Atlanta Falcons
1975,14,0.0,Marion Campbell,Bill Nelsen,Fred Bruney,Atlanta Falcons
1974,6,0.0,Marion Campbell,,,Atlanta Falcons
1974,8,0.0,Norm Van Brocklin,,Marion Campbell,Atlanta Falcons
1973,14,0.0,Norm Van Brocklin,,Marion Campbell,Atlanta Falcons
1972,14,0.0,Norm Van Brocklin,,Marion Campbell,Atlanta Falcons
1971,14,0.0,Norm Van Brocklin,,Marion Campbell,Atlanta Falcons
1970,14,0.0,Norm Van Brocklin,,Marion Campbell,Atlanta Falcons
1969,14,0.0,Norm Van Brocklin,,Marion Campbell,Atlanta Falcons
1968,11,0.0,Norm Van Brocklin,Lew Carpenter,Hal Herring,Atlanta Falcons
1968,3,0.0,Norb Hecker,Lew Carpenter,Hal Herring,Atlanta Falcons
1967,14,0.0,Norb Hecker,,Hal Herring,Atlanta Falcons
1966,14,0.0,Norb Hecker,Tom Fears,Hal Herring,Atlanta Falcons
2025,6,,John Harbaugh,Todd Monken,Zach Orr,Baltimore Ravens
2024,17,2.0,John Harbaugh,Todd Monken,Zach Orr,Baltimore Ravens
2023,17,2.0,John Harbaugh,Todd Monken,Mike Macdonald,Baltimore Ravens
2022,17,1.0,John Harbaugh,Greg Roman,Mike Macdonald,Baltimore Ravens
2021,17,,John Harbaugh,Greg Roman,Don Martindale,Baltimore Ravens
2020,16,2.0,John Harbaugh,Greg Roman,Don Martindale,Baltimore Ravens
2019,16,1.0,John Harbaugh,Greg Roman,Don Martindale,Baltimore Ravens
2018,16,1.0,John Harbaugh,Marty Mornhinweg,Don Martindale,Baltimore Ravens
2017,16,,John Harbaugh,Marty Mornhinweg,Dean Pees,Baltimore Ravens
2016,16,,John Harbaugh,"Marty Mornhinweg, Marc Trestman",Dean Pees,Baltimore Ravens
2015,16,,John Harbaugh,Marc Trestman,Dean Pees,Baltimore Ravens
2014,16,2.0,John Harbaugh,Gary Kubiak,Dean Pees,Baltimore Ravens
2013,16,0.0,John Harbaugh,Jim Caldwell,Dean Pees,Baltimore Ravens
2012,16,4.0,John Harbaugh,"Jim Caldwell, Cam Cameron",Dean Pees,Baltimore Ravens
2011,16,2.0,John Harbaugh,Cam Cameron,Chuck Pagano,Baltimore Ravens
2010,16,2.0,John Harbaugh,Cam Cameron,Greg Mattison,Baltimore Ravens
2009,16,2.0,John Harbaugh,Cam Cameron,Greg Mattison,Baltimore Ravens
2008,16,3.0,John Harbaugh,Cam Cameron,Rex Ryan,Baltimore Ravens
2007,16,0.0,Brian Billick,Rick Neuheisel,Rex Ryan,Baltimore Ravens
2006,16,1.0,Brian Billick,Jim Fassel,Rex Ryan,Baltimore Ravens
2005,16,0.0,Brian Billick,Jim Fassel,Rex Ryan,Baltimore Ravens
2004,16,0.0,Brian Billick,Matt Cavanaugh,Mike Nolan,Baltimore Ravens
2003,16,1.0,Brian Billick,Matt Cavanaugh,Mike Nolan,Baltimore Ravens
2002,16,0.0,Brian Billick,Matt Cavanaugh,Mike Nolan,Baltimore Ravens
2001,16,2.0,Brian Billick,Matt Cavanaugh,Marvin Lewis,Baltimore Ravens
2000,16,4.0,Brian Billick,Matt Cavanaugh,Marvin Lewis,Baltimore Ravens
1999,16,0.0,Brian Billick,Matt Cavanaugh,Marvin Lewis,Baltimore Ravens
1998,16,0.0,Ted Marchibroda,,Marvin Lewis,Baltimore Ravens
1997,16,0.0,Ted Marchibroda,,Marvin Lewis,Baltimore Ravens
1996,16,0.0,Ted Marchibroda,,Marvin Lewis,Baltimore Ravens
2025,6,,Sean McDermott,Joe Brady,Bobby Babich,Buffalo Bills
2024,17,3.0,Sean McDermott,Joe Brady,Bobby Babich,Buffalo Bills
2023,17,2.0,Sean McDermott,"Joe Brady, Ken Dorsey",,Buffalo Bills
2022,16,2.0,Sean McDermott,Ken Dorsey,Leslie Frazier,Buffalo Bills
2021,17,2.0,Sean McDermott,Brian Daboll,Leslie Frazier,Buffalo Bills
2020,16,3.0,Sean McDermott,Brian Daboll,Leslie Frazier,Buffalo Bills
2019,16,1.0,Sean McDermott,Brian Daboll,Leslie Frazier,Buffalo Bills
2018,16,0.0,Sean McDermott,Brian Daboll,Leslie Frazier,Buffalo Bills
2017,16,1.0,Sean McDermott,Rick Dennison,Leslie Frazier,Buffalo Bills
2016,1,0.0,Anthony Lynn,Greg Roman,Dennis Thurman,Buffalo Bills
2016,15,0.0,Rex Ryan,"Anthony Lynn, Greg Roman",Dennis Thurman,Buffalo Bills
2015,16,,Rex Ryan,Greg Roman,Dennis Thurman,Buffalo Bills
2014,16,0.0,Doug Marrone,Nathaniel Hackett,Jim Schwartz,Buffalo Bills
2013,16,0.0,Doug Marrone,Nathaniel Hackett,Mike Pettine,Buffalo Bills
2012,16,0.0,Chan Gailey,Curtis Modkins,Dave Wannstedt,Buffalo Bills
2011,16,0.0,Chan Gailey,Curtis Modkins,George Edwards,Buffalo Bills
2010,16,0.0,Chan Gailey,Curtis Modkins,George Edwards,Buffalo Bills
2009,7,0.0,Perry Fewell,Alex Van Pelt,,Buffalo Bills
2009,9,0.0,Dick Jauron,Alex Van Pelt,Perry Fewell,Buffalo Bills
2008,16,0.0,Dick Jauron,Turk Schonert,Perry Fewell,Buffalo Bills
2007,16,0.0,Dick Jauron,Steve Fairchild,Perry Fewell,Buffalo Bills
2006,16,0.0,Dick Jauron,Steve Fairchild,Perry Fewell,Buffalo Bills
2005,16,0.0,Mike Mularkey,Tom Clements,Jerry Gray,Buffalo Bills
2004,16,0.0,Mike Mularkey,Tom Clements,Jerry Gray,Buffalo Bills
2003,16,0.0,Gregg Williams,Kevin Gilbride,Jerry Gray,Buffalo Bills
2002,16,0.0,Gregg Williams,Kevin Gilbride,Jerry Gray,Buffalo Bills
2001,16,0.0,Gregg Williams,Mike Sheppard,Jerry Gray,Buffalo Bills
2000,16,0.0,Wade Phillips,Joe Pendry,Ted Cottrell,Buffalo Bills
1999,16,1.0,Wade Phillips,Joe Pendry,Ted Cottrell,Buffalo Bills
1998,16,1.0,Wade Phillips,Joe Pendry,Ted Cottrell,Buffalo Bills
1997,16,0.0,Marv Levy,Dan Henning,Wade Phillips,Buffalo Bills
1996,16,1.0,Marv Levy,Tom Bresnahan,Wade Phillips,Buffalo Bills
1995,16,2.0,Marv Levy,Tom Bresnahan,Wade Phillips,Buffalo Bills
1994,16,0.0,Marv Levy,Tom Bresnahan,Walt Corey,Buffalo Bills
1993,16,3.0,Marv Levy,Tom Bresnahan,Walt Corey,Buffalo Bills
1992,16,4.0,Marv Levy,Tom Bresnahan,Walt Corey,Buffalo Bills
1991,16,3.0,Marv Levy,Ted Marchibroda,Walt Corey,Buffalo Bills
1990,16,3.0,Marv Levy,Ted Marchibroda,Walt Corey,Buffalo Bills
1989,16,1.0,Marv Levy,Ted Marchibroda,Walt Corey,Buffalo Bills
1988,16,2.0,Marv Levy,Jim Ringo,Walt Corey,Buffalo Bills
1987,15,0.0,Marv Levy,Jim Ringo,Walt Corey,Buffalo Bills
1986,7,0.0,Marv Levy,Jim Ringo,Herb Paterra,Buffalo Bills
1986,9,0.0,Hank Bullough,Jim Ringo,Herb Paterra,Buffalo Bills
1985,12,0.0,Hank Bullough,Jim Ringo,,Buffalo Bills
1985,4,0.0,Kay Stephenson,Jim Ringo,Hank Bullough,Buffalo Bills
1984,16,0.0,Kay Stephenson,,Don Lawrence,Buffalo Bills
1983,16,0.0,Kay Stephenson,,Bob Zeman,Buffalo Bills
1982,9,0.0,Chuck Knox,Ray Prochaska,Tom Catlin,Buffalo Bills
1981,16,2.0,Chuck Knox,Ray Prochaska,Tom Catlin,Buffalo Bills
1980,16,1.0,Chuck Knox,Ray Prochaska,Tom Catlin,Buffalo Bills
1979,16,0.0,Chuck Knox,Ray Prochaska,Tom Catlin,Buffalo Bills
1978,16,0.0,Chuck Knox,Ray Prochaska,Tom Catlin,Buffalo Bills
1977,14,0.0,Jim Ringo,,Richie McCabe,Buffalo Bills
1976,9,0.0,Jim Ringo,,Richie McCabe,Buffalo Bills
1976,5,0.0,Lou Saban,,Richie McCabe,Buffalo Bills
1975,14,0.0,Lou Saban,,,Buffalo Bills
1974,14,1.0,Lou Saban,,,Buffalo Bills
1973,14,0.0,Lou Saban,,,Buffalo Bills
1972,14,0.0,Lou Saban,,,Buffalo Bills
1971,14,0.0,Harvey Johnson,,,Buffalo Bills
1970,14,0.0,John Rauch,,,Buffalo Bills
1969,14,0.0,John Rauch,,,Buffalo Bills
1968,12,0.0,Harvey Johnson,,,Buffalo Bills
1968,2,0.0,Joe Collier,,,Buffalo Bills
1967,14,0.0,Joe Collier,,,Buffalo Bills
1966,14,1.0,Joe Collier,,,Buffalo Bills
1965,14,1.0,Lou Saban,,,Buffalo Bills
1964,14,1.0,Lou Saban,,,Buffalo Bills
1963,14,1.0,Lou Saban,,,Buffalo Bills
1962,14,0.0,Lou Saban,,,Buffalo Bills
1961,14,0.0,Buster Ramsey,,,Buffalo Bills
1960,14,0.0,Buster Ramsey,,,Buffalo Bills
2025,7,,Dave Canales,Brad Idzik,Ejiro Evero,Carolina Panthers
2024,17,,Dave Canales,Brad Idzik,Ejiro Evero,Carolina Panthers
2023,6,,Chris Tabor,Thomas Brown,Ejiro Evero,Carolina Panthers
2023,11,,Frank Reich,Thomas Brown,Ejiro Evero,Carolina Panthers
2022,12,,Steve Wilks,Ben McAdoo,"Al Holcomb, Phil Snow",Carolina Panthers
2022,5,,Matt Rhule,Ben McAdoo,"Al Holcomb, Phil Snow",Carolina Panthers
2021,17,,Matt Rhule,"Joe Brady, Jeff Nixon",Phil Snow,Carolina Panthers
2020,16,,Matt Rhule,Joe Brady,Phil Snow,Carolina Panthers
2019,4,,Perry Fewell,"Norv Turner, Scott Turner",Eric Washington,Carolina Panthers
2019,12,,Ron Rivera,"Norv Turner, Scott Turner",Eric Washington,Carolina Panthers
2018,16,,Ron Rivera,Norv Turner,Eric Washington,Carolina Panthers
2017,16,1.0,Ron Rivera,Mike Shula,Steve Wilks,Carolina Panthers
2016,16,,Ron Rivera,Mike Shula,Sean McDermott,Carolina Panthers
2015,16,3.0,Ron Rivera,Mike Shula,Sean McDermott,Carolina Panthers
2014,16,2.0,Ron Rivera,Mike Shula,Sean McDermott,Carolina Panthers
2013,16,1.0,Ron Rivera,Mike Shula,Sean McDermott,Carolina Panthers
2012,16,0.0,Ron Rivera,Rob Chudzinski,Sean McDermott,Carolina Panthers
2011,16,0.0,Ron Rivera,Rob Chudzinski,Sean McDermott,Carolina Panthers
2010,16,0.0,John Fox,Jeff Davidson,Ron Meeks,Carolina Panthers
2009,16,0.0,John Fox,Jeff Davidson,Ron Meeks,Carolina Panthers
2008,16,1.0,John Fox,Jeff Davidson,Mike Trgovac,Carolina Panthers
2007,16,0.0,John Fox,Jeff Davidson,Mike Trgovac,Carolina Panthers
2006,16,0.0,John Fox,Dan Henning,Mike Trgovac,Carolina Panthers
2005,16,3.0,John Fox,Dan Henning,Mike Trgovac,Carolina Panthers
2004,16,0.0,John Fox,Dan Henning,Mike Trgovac,Carolina Panthers
2003,16,4.0,John Fox,Dan Henning,Mike Trgovac,Carolina Panthers
2002,16,0.0,John Fox,Dan Henning,Jack Del Rio,Carolina Panthers
2001,16,0.0,George Seifert,Richard Williamson,John Marshall,Carolina Panthers
2000,16,0.0,George Seifert,"Bill Musgrave, Richard Williamson",John Marshall,Carolina Panthers
1999,16,0.0,George Seifert,Gil Haskell,John Marshall,Carolina Panthers
1998,16,0.0,Dom Capers,Gil Haskell,Vic Fangio,Carolina Panthers
1997,16,0.0,Dom Capers,Joe Pendry,Vic Fangio,Carolina Panthers
1996,16,2.0,Dom Capers,Joe Pendry,Vic Fangio,Carolina Panthers
1995,16,0.0,Dom Capers,Joe Pendry,Vic Fangio,Carolina Panthers
2025,6,,Ben Johnson,Declan Doyle,Dennis Allen,Chicago Bears
2024,5,,Thomas Brown,"Chris Beatty, Shane Waldron",Eric Washington,Chicago Bears
2024,12,,Matt Eberflus,"Chris Beatty, Thomas Brown, Shane Waldron",Eric Washington,Chicago Bears
2023,17,,Matt Eberflus,Luke Getsy,Alan Williams,Chicago Bears
2022,17,,Matt Eberflus,Luke Getsy,Alan Williams,Chicago Bears
2021,17,,Matt Nagy,Bill Lazor,Sean Desai,Chicago Bears
2020,16,1.0,Matt Nagy,Bill Lazor,Chuck Pagano,Chicago Bears
2019,16,,Matt Nagy,Mark Helfrich,Chuck Pagano,Chicago Bears
2018,16,1.0,Matt Nagy,Mark Helfrich,Vic Fangio,Chicago Bears
2017,16,,John Fox,Dowell Loggains,Vic Fangio,Chicago Bears
2016,16,,John Fox,Dowell Loggains,Vic Fangio,Chicago Bears
2015,16,,John Fox,Adam Gase,Vic Fangio,Chicago Bears
2014,16,0.0,Marc Trestman,Aaron Kromer,Mel Tucker,Chicago Bears
2013,16,0.0,Marc Trestman,Aaron Kromer,Mel Tucker,Chicago Bears
2012,16,0.0,Lovie Smith,Mike Tice,Rod Marinelli,Chicago Bears
2011,16,0.0,Lovie Smith,Mike Martz,Rod Marinelli,Chicago Bears
2010,16,2.0,Lovie Smith,Mike Martz,Rod Marinelli,Chicago Bears
2009,16,0.0,Lovie Smith,Ron Turner,Bob Babich,Chicago Bears
2008,16,0.0,Lovie Smith,Ron Turner,Bob Babich,Chicago Bears
2007,16,0.0,Lovie Smith,Ron Turner,Bob Babich,Chicago Bears
2006,16,3.0,Lovie Smith,Ron Turner,Ron Rivera,Chicago Bears
2005,16,1.0,Lovie Smith,Ron Turner,Ron Rivera,Chicago Bears
2004,16,0.0,Lovie Smith,Terry Shea,Ron Rivera,Chicago Bears
2003,16,0.0,Dick Jauron,John Shoop,Greg Blache,Chicago Bears
2002,16,0.0,Dick Jauron,John Shoop,Greg Blache,Chicago Bears
2001,16,1.0,Dick Jauron,John Shoop,Greg Blache,Chicago Bears
2000,16,0.0,Dick Jauron,Gary Crowton,Greg Blache,Chicago Bears
1999,16,0.0,Dick Jauron,Gary Crowton,Greg Blache,Chicago Bears
1998,16,0.0,Dave Wannstedt,Matt Cavanaugh,Bob Slowik,Chicago Bears
1997,16,0.0,Dave Wannstedt,Matt Cavanaugh,Bob Slowik,Chicago Bears
1996,16,0.0,Dave Wannstedt,Ron Turner,Bob Slowik,Chicago Bears
1995,16,0.0,Dave Wannstedt,Ron Turner,Bob Slowik,Chicago Bears
1994,16,2.0,Dave Wannstedt,Ron Turner,Bob Slowik,Chicago Bears
1993,16,0.0,Dave Wannstedt,Ron Turner,Bob Slowik,Chicago Bears
1992,16,0.0,Mike Ditka,Greg Landry,Vince Tobin,Chicago Bears
1991,16,1.0,Mike Ditka,Greg Landry,Vince Tobin,Chicago Bears
1990,16,2.0,Mike Ditka,Greg Landry,Vince Tobin,Chicago Bears
1989,16,0.0,Mike Ditka,Greg Landry,Vince Tobin,Chicago Bears
